time_s,frame,direction,phase,speed,detected_color,active_color,avoidance_stage,x_center,y_center,object_angle,raw_wall_angle,wall_servo,servo_command,is_corner,blue_visible,orange_visible,quarter_count,lap_count,total_quarters,obstacles_locked,obstacles_cleared,side_clearance_met,extreme_active,stable_streak,post_lap_corner_seen,arduino_reply
0.0000,0,right,WALL_FOLLOW,600,none,none,IDLE,,,,48,72,72,1,0,0,0,0,0,0,0,0,0,0,0,
0.0784,1,right,WALL_FOLLOW,600,green,none,IDLE,126.89999389648438,45.29999923706055,-63.61,48,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.1272,2,right,WALL_FOLLOW,600,none,none,IDLE,,,,48,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.1699,3,right,WALL_FOLLOW,600,none,none,IDLE,,,,48,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.2159,4,right,WALL_FOLLOW,600,none,none,IDLE,,,,48,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.2609,5,right,WALL_FOLLOW,600,none,none,IDLE,,,,48,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.3079,6,right,WALL_FOLLOW,600,none,none,IDLE,,,,48,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.3549,7,right,WALL_FOLLOW,600,none,none,IDLE,,,,68,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.3999,8,right,WALL_FOLLOW,600,none,none,IDLE,,,,58,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.4490,9,right,WALL_FOLLOW,600,none,none,IDLE,,,,60,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.4929,10,right,WALL_FOLLOW,600,none,none,IDLE,,,,58,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.5399,11,right,WALL_FOLLOW,600,none,none,IDLE,,,,63,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.5849,12,right,WALL_FOLLOW,600,none,none,IDLE,,,,64,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.6309,13,right,WALL_FOLLOW,600,none,none,IDLE,,,,64,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.6769,14,right,WALL_FOLLOW,600,none,none,IDLE,,,,66,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.7249,15,right,WALL_FOLLOW,600,none,none,IDLE,,,,68,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.7709,16,right,WALL_FOLLOW,600,none,none,IDLE,,,,72,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.8200,17,right,WALL_FOLLOW,600,none,none,IDLE,,,,71,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.8619,18,right,WALL_FOLLOW,600,none,none,IDLE,,,,75,72,72,0,0,0,0,0,0,0,0,0,0,0,0,
0.9089,19,right,WALL_FOLLOW,600,none,none,IDLE,,,,77,73,73,0,0,0,0,0,0,0,0,0,0,0,0,
0.9549,20,right,WALL_FOLLOW,600,none,none,IDLE,,,,78,74,74,0,0,0,0,0,0,0,0,0,0,0,0,
1.0009,21,right,WALL_FOLLOW,600,none,none,IDLE,,,,87,83,83,0,0,0,0,0,0,0,0,0,0,0,0,
1.0470,22,right,WALL_FOLLOW,600,none,none,IDLE,,,,84,80,80,0,0,0,0,0,0,0,0,0,0,0,0,
